circuit_name,sc_per_10laps,vsc_per_10laps
Abu Dhabi Grand Prix,0.0,0.0
Australian Grand Prix,0.0,0.0
Austrian Grand Prix,0.0,0.0
Azerbaijan Grand Prix,0.0,0.0
Bahrain Grand Prix,0.0,0.0
Belgian Grand Prix,0.0,0.0
British Grand Prix,0.0,0.0
Canadian Grand Prix,0.0,0.0
Dutch Grand Prix,0.010030090270812437,0.0
Hungarian Grand Prix,0.0,0.0
Italian Grand Prix,0.0,0.0
Japanese Grand Prix,0.01366120218579235,0.0
Las Vegas Grand Prix,0.0,0.0
Mexico City Grand Prix,0.0,0.008888888888888889
Miami Grand Prix,0.0,0.0
Monaco Grand Prix,0.0,0.0
Qatar Grand Prix,0.0,0.0
Saudi Arabian Grand Prix,0.0,0.0
Singapore Grand Prix,0.01059322033898305,0.0
Spanish Grand Prix,0.0,0.0
Ṣo Paulo Grand Prix,0.0,0.0
United States Grand Prix,0.0,0.0
